InvoiceNo,StockCode,year,month,day,hour,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,amount_spent
546084,22741,2011,3,3,11,funky diva pen,48,2011-03-09 11:28:00,0.85,14112,United Kingdom,40.8
545906,22557,2011,3,2,9,plasters in tin vintage paisley ,12,2011-03-08 09:23:00,1.65,15764,United Kingdom,19.8
539475,22176,2010,12,7,14,blue owl soft toy,1,2010-12-19 14:41:00,2.95,16686,United Kingdom,2.95
572562,21889,2011,10,2,9,wooden box of dominoes,12,2011-10-25 09:07:00,1.25,13481,United Kingdom,15.0
549372,72741,2011,4,5,11,grand chocolatecandle,9,2011-04-08 11:28:00,1.45,14958,United Kingdom,13.05
541596,84535B,2011,1,3,16,fairy cakes notebook a6 size,4,2011-01-19 16:19:00,0.65,17602,United Kingdom,2.6
537265,22197,2010,12,1,11,small popcorn holder,6,2010-12-06 11:26:00,0.85,15919,United Kingdom,5.1
551520,21713,2011,5,7,11,citronella candle flowerpot,4,2011-05-01 11:55:00,2.1,13301,United Kingdom,8.4
562166,22382,2011,8,3,12,lunch bag spaceboy design ,10,2011-08-03 12:10:00,1.65,13209,United Kingdom,16.5
567303,23265,2011,9,1,13,set of 3 wooden tree decorations,12,2011-09-19 13:20:00,1.25,17613,United Kingdom,15.0
570638,22049,2011,10,2,12,wrap christmas screen print,50,2011-10-11 12:36:00,0.19,17888,United Kingdom,9.5
560270,23302,2011,7,7,14,kneeling mat housework  design,1,2011-07-17 14:42:00,1.65,16744,United Kingdom,1.65
574741,23198,2011,11,7,16,pantry magnetic  shopping list,2,2011-11-06 16:13:00,1.45,15993,United Kingdom,2.9
544672,21238,2011,2,2,15,red retrospot cup,24,2011-02-22 15:45:00,0.85,14646,Netherlands,20.4
565218,23007,2011,9,4,17, spaceboy baby gift set,6,2011-09-01 17:45:00,14.95,12739,United Arab Emirates,89.69999999999997
570458,21880,2011,10,1,15,red retrospot tape,12,2011-10-10 15:39:00,0.65,14535,United Kingdom,7.800000000000002
546116,21215,2011,3,3,13,ivory paper cup cake cases ,24,2011-03-09 13:53:00,0.55,15367,United Kingdom,13.2
573904,22121,2011,11,2,14,noel wooden block letters ,1,2011-11-01 14:54:00,5.95,14505,United Kingdom,5.95
560713,23029,2011,7,3,13,drawer knob crackle glaze green,12,2011-07-20 13:09:00,1.65,16774,United Kingdom,19.8
572037,22734,2011,10,4,12,set of 6 ribbons vintage christmas,8,2011-10-20 12:07:00,2.89,17365,United Kingdom,23.12
578949,85099B,2011,11,7,14,jumbo bag red retrospot,1,2011-11-27 14:30:00,2.08,14954,United Kingdom,2.08
546096,22630,2011,3,3,11,dolly girl lunch box,12,2011-03-09 11:59:00,1.95,15502,United Kingdom,23.4
548188,22050,2011,3,2,15,pink paisley rose gift wrap,25,2011-03-29 15:12:00,0.42,13263,United Kingdom,10.5
572653,21172,2011,10,2,12,party metal sign ,4,2011-10-25 12:12:00,1.45,15861,United Kingdom,5.8
546116,21977,2011,3,3,13,pack of 60 pink paisley cake cases,24,2011-03-09 13:53:00,0.55,15367,United Kingdom,13.2
579278,85066,2011,11,2,10,cream sweetheart mini chest,2,2011-11-29 10:18:00,12.75,14209,United Kingdom,25.5
547066,21094,2011,3,7,13,set/6 red spotty paper plates,12,2011-03-20 13:41:00,0.85,12921,United Kingdom,10.2
559715,10133,2011,7,2,10,colouring pencils brown tube,60,2011-07-12 10:47:00,0.42,14132,United Kingdom,25.2
550158,21212,2011,4,4,15,pack of 72 retrospot cake cases,24,2011-04-14 15:39:00,0.55,13989,United Kingdom,13.2
565918,71459,2011,9,3,16,hanging jam jar t-light holders,12,2011-09-07 16:27:00,0.85,13249,United Kingdom,10.2
566400,22593,2011,9,1,13,christmas gingham star,12,2011-09-12 13:16:00,0.85,17139,United Kingdom,10.2
575127,48184,2011,11,2,14,doormat english rose ,2,2011-11-08 14:26:00,8.25,13695,United Kingdom,16.5
545690,22723,2011,3,7,12,set of 6 herb tins sketchbook,2,2011-03-06 12:46:00,3.95,13263,United Kingdom,7.9
575637,23215,2011,11,4,13,jingle bell heart antique silver,3,2011-11-10 13:46:00,2.08,16904,United Kingdom,6.24
555394,21291,2011,6,4,17,small polkadot chocolate gift bag ,32,2011-06-02 17:03:00,0.85,12971,United Kingdom,27.2
571850,23247,2011,10,3,12,biscuit tin 50's christmas,4,2011-10-19 12:54:00,2.89,14698,United Kingdom,11.56
536973,21258,2010,12,5,13,victorian sewing box large,2,2010-12-03 13:43:00,12.75,17787,United Kingdom,25.5
575668,85099B,2011,11,4,14,jumbo bag red retrospot,1,2011-11-10 14:59:00,2.08,18283,United Kingdom,2.08
578757,22142,2011,11,5,11,christmas craft white fairy ,1,2011-11-25 11:41:00,1.45,12748,United Kingdom,1.45
578016,22695,2011,11,2,13,wicker wreath small,2,2011-11-22 13:02:00,1.45,14506,United Kingdom,2.9
560048,16161P,2011,7,4,15,wrap english rose ,25,2011-07-14 15:02:00,0.42,13515,United Kingdom,10.5
578548,23323,2011,11,4,15,white wicker star ,7,2011-11-24 15:02:00,2.1,17345,United Kingdom,14.7
569243,22654,2011,10,1,9,deluxe sewing kit ,3,2011-10-03 09:44:00,5.95,13344,United Kingdom,17.85
538356,84832,2010,12,5,15,zinc willie winkie  candle stick,24,2010-12-10 15:56:00,0.85,14062,United Kingdom,20.4
536943,22295,2010,12,5,12,heart filigree dove large,12,2010-12-03 12:11:00,1.65,17884,United Kingdom,19.8
555626,85123A,2011,6,1,11,white hanging heart t-light holder,12,2011-06-06 11:55:00,2.95,16103,United Kingdom,35.40000000000001
561631,22192,2011,7,4,14,blue diner wall clock,2,2011-07-28 14:27:00,8.5,14911,EIRE,17.0
571841,22113,2011,10,3,12,grey heart hot water bottle,2,2011-10-19 12:21:00,4.25,17625,United Kingdom,8.5
569406,85175,2011,10,2,9,cacti t-light candles,48,2011-10-04 09:09:00,0.42,16253,United Kingdom,20.16
539317,22109,2010,12,4,19,full english breakfast plate,1,2010-12-16 19:04:00,3.75,17392,United Kingdom,3.75
542026,82600,2011,1,2,11,no singing metal sign,12,2011-01-25 11:41:00,2.1,15110,United Kingdom,25.200000000000006
563909,21621,2011,8,7,12,vintage union jack bunting,1,2011-08-21 12:36:00,8.5,15701,United Kingdom,8.5
581220,22754,2011,12,4,9,small red babushka notebook ,24,2011-12-08 09:39:00,0.21,13924,United Kingdom,5.04
558879,22457,2011,7,1,14,natural slate heart chalkboard ,6,2011-07-04 14:07:00,2.95,12921,United Kingdom,17.700000000000006
568528,22596,2011,9,2,13,christmas star wish list chalkboard,12,2011-09-27 13:32:00,1.25,13979,United Kingdom,15.0
548991,21754,2011,4,2,13,home building block word,2,2011-04-05 13:48:00,5.95,16915,United Kingdom,11.9
566427,23300,2011,9,1,14,gardeners kneeling pad cup of tea ,2,2011-09-12 14:24:00,1.65,17433,United Kingdom,3.3
569261,22728,2011,10,1,11,alarm clock bakelike pink,2,2011-10-03 11:34:00,3.75,17321,United Kingdom,7.5
575964,82482,2011,11,7,12,wooden picture frame white finish,3,2011-11-13 12:31:00,2.95,15021,United Kingdom,8.850000000000003
571837,23507,2011,10,3,12,mini playing cards buffalo bill ,4,2011-10-19 12:11:00,0.42,16470,United Kingdom,1.68
544646,22988,2011,2,2,12,soldiers egg cup ,12,2011-02-22 12:06:00,1.25,17075,United Kingdom,15.0
560394,22796,2011,7,1,13,photo frame 3 classic hanging,1,2011-07-18 13:35:00,9.95,14390,United Kingdom,9.95
575512,23499,2011,11,4,10,set 12 vintage doily chalk ,24,2011-11-10 10:36:00,0.42,14121,United Kingdom,10.08
550615,46000S,2011,4,2,12,polyester filler pad 40x40cm,10,2011-04-19 12:41:00,1.45,16730,United Kingdom,14.5
577126,22312,2011,11,4,19,office mug warmer polkadot,12,2011-11-17 19:22:00,2.95,12406,Denmark,35.40000000000001
580516,23505,2011,12,7,14,playing cards i love london ,1,2011-12-04 14:15:00,1.25,17954,United Kingdom,1.25
562965,20728,2011,8,4,10,lunch bag cars blue,30,2011-08-11 10:45:00,1.65,18226,United Kingdom,49.5
559557,22620,2011,7,1,10,4 traditional spinning tops,12,2011-07-11 10:33:00,1.45,17444,Canada,17.4
551774,85173,2011,5,3,11,set/6 frog prince t-light candles,1,2011-05-04 11:12:00,2.55,14606,United Kingdom,2.55
567168,22900,2011,9,7,12,set 2 tea towels i love london ,2,2011-09-18 12:24:00,3.25,14878,United Kingdom,6.5
578041,21620,2011,11,2,14,set of 4 rose botanical candles,4,2011-11-22 14:23:00,1.25,17338,United Kingdom,5.0
568712,22309,2011,9,3,15,tea cosy red  stripe,2,2011-09-28 15:50:00,2.55,17841,United Kingdom,5.1
555741,17013D,2011,6,2,10,origami rose incense in tube,12,2011-06-07 10:05:00,0.42,16817,United Kingdom,5.04
549999,23230,2011,4,4,9,wrap alphabet design,25,2011-04-14 09:09:00,0.42,15813,United Kingdom,10.5
568916,22865,2011,9,4,14,hand warmer owl design,12,2011-09-29 14:08:00,2.1,15452,United Kingdom,25.200000000000006
567181,23005,2011,9,7,15,travel card wallet i love london,24,2011-09-18 15:15:00,0.42,17750,United Kingdom,10.08
556495,23055,2011,6,7,15,ivory chandelier t-light holder,1,2011-06-12 15:14:00,6.25,18069,United Kingdom,6.25
553859,21196,2011,5,4,13,round white confetti in tube,2,2011-05-19 13:35:00,1.65,14505,United Kingdom,3.3
578278,22211,2011,11,3,13,wood stamp set flowers,10,2011-11-23 13:51:00,0.83,12748,United Kingdom,8.299999999999999
566580,22741,2011,9,2,13,funky diva pen,48,2011-09-13 13:46:00,0.85,12822,United Kingdom,40.8
575631,22208,2011,11,4,13,wood stamp set thank you,1,2011-11-10 13:41:00,0.83,15184,United Kingdom,0.83
559653,21933,2011,7,1,12,pink vintage paisley picnic bag,1,2011-07-11 12:49:00,1.65,14552,United Kingdom,1.65
542621,37495,2011,1,1,9,fairy cake birthday candle set,4,2011-01-31 09:05:00,3.75,12528,Germany,15.0
557570,20774,2011,6,2,10,green fern notebook,2,2011-06-21 10:48:00,1.65,15998,United Kingdom,3.3
564815,23015,2011,8,2,12,cordial glass jug,1,2011-08-30 12:00:00,8.25,12748,United Kingdom,8.25
578316,22897,2011,11,3,16,oven mitt apples design,10,2011-11-23 16:43:00,1.45,14189,United Kingdom,14.5
537057,20983,2010,12,7,11,12 pencils tall tube red retrospot,1,2010-12-05 11:49:00,0.85,15351,United Kingdom,0.85
577086,22578,2011,11,4,15,wooden star christmas scandinavian,24,2011-11-17 15:50:00,0.29,16070,United Kingdom,6.959999999999999
568152,21889,2011,9,7,11,wooden box of dominoes,6,2011-09-25 11:40:00,1.25,16480,United Kingdom,7.5
541263,22723,2011,1,7,16,set of 6 herb tins sketchbook,4,2011-01-16 16:10:00,3.95,16843,United Kingdom,15.8
568701,22666,2011,9,3,15,recipe box pantry yellow design,6,2011-09-28 15:07:00,2.95,13924,United Kingdom,17.700000000000006
576323,23582,2011,11,1,15,vintage doily jumbo bag red ,5,2011-11-14 15:10:00,2.08,16161,United Kingdom,10.4
538198,84029E,2010,12,5,11,red woolly hottie white heart.,3,2010-12-10 11:01:00,3.75,17827,United Kingdom,11.25
576508,23228,2011,11,2,12,filigree heart bird white ,3,2011-11-15 12:02:00,1.25,17777,United Kingdom,3.75
573140,15036,2011,10,4,17,assorted colours silk fan,24,2011-10-27 17:34:00,0.83,15955,United Kingdom,19.92
545445,22624,2011,3,3,16,ivory kitchen scales,2,2011-03-02 16:26:00,8.5,17738,United Kingdom,17.0
567796,22562,2011,9,4,11,monsters stencil craft,2,2011-09-22 11:46:00,1.25,16395,United Kingdom,2.5
538507,22649,2010,12,7,13,strawberry fairy cake teapot,1,2010-12-12 13:26:00,4.95,15547,United Kingdom,4.95
574290,21707,2011,11,4,15,folding umbrella blackblue polkadot,1,2011-11-03 15:18:00,4.95,17403,United Kingdom,4.95
565147,23330,2011,9,4,13,decorative wicker heart medium,24,2011-09-01 13:53:00,1.25,16187,United Kingdom,30.0
553856,22131,2011,5,4,13,food container set 3 love heart ,2,2011-05-19 13:28:00,1.95,16813,United Kingdom,3.9
559813,22960,2011,7,2,15,jam making set with jars,6,2011-07-12 15:42:00,4.25,18272,United Kingdom,25.5
578627,23344,2011,11,4,15,jumbo bag 50's christmas ,20,2011-11-24 15:41:00,2.08,14709,United Kingdom,41.6
579470,22865,2011,11,2,15,hand warmer owl design,4,2011-11-29 15:06:00,2.1,16549,United Kingdom,8.4
576932,23311,2011,11,4,11,vintage christmas stocking ,2,2011-11-17 11:12:00,2.55,15443,United Kingdom,5.1
571496,23452,2011,10,1,15,heart mini portrait frame,12,2011-10-17 15:02:00,1.95,13265,United Kingdom,23.4
554337,23160,2011,5,1,17,regency tea spoon,12,2011-05-23 17:25:00,1.25,17920,United Kingdom,15.0
575959,23691,2011,11,7,12,wrap keep calm birthday,25,2011-11-13 12:27:00,0.42,14547,United Kingdom,10.5
541110,72351B,2011,1,4,15,set/6 pink  butterfly t-lights,4,2011-01-13 15:11:00,2.1,15916,United Kingdom,8.4
549286,21381,2011,4,4,18,mini wooden happy birthday garland,6,2011-04-07 18:03:00,1.69,17928,United Kingdom,10.14
578998,23365,2011,11,7,16,set 12 colour pencils love london,1,2011-11-27 16:05:00,0.65,15436,United Kingdom,0.65
553417,23174,2011,5,2,10,regency sugar bowl green,6,2011-05-17 10:08:00,4.15,13871,United Kingdom,24.9
577071,23570,2011,11,4,14,traditional pick up sticks game ,2,2011-11-17 14:56:00,1.25,13969,United Kingdom,2.5
553762,23203,2011,5,4,10,jumbo bag doiley patterns,10,2011-05-19 10:38:00,1.95,18145,United Kingdom,19.5
546423,84882,2011,3,7,12,green wire standing candle holder,2,2011-03-13 12:39:00,3.75,14502,United Kingdom,7.5
563614,23201,2011,8,4,8,jumbo bag alphabet,100,2011-08-18 08:51:00,1.79,12415,Australia,179.0
546220,85099B,2011,3,4,12,jumbo bag red retrospot,4,2011-03-10 12:16:00,1.95,16745,United Kingdom,7.8
570410,22930,2011,10,1,13,baking mould heart milk chocolate,1,2011-10-10 13:04:00,2.55,16776,United Kingdom,2.55
569037,22579,2011,9,5,10,wooden tree christmas scandinavian,24,2011-09-30 10:45:00,0.29,13263,United Kingdom,6.959999999999999
574302,22584,2011,11,4,16,pack of 6 pannetone gift boxes,6,2011-11-03 16:28:00,2.55,13914,United Kingdom,15.3
556063,84992,2011,6,3,14,72 sweetheart fairy cake cases,1,2011-06-08 14:09:00,0.55,14587,United Kingdom,0.55
545295,21080,2011,3,2,12,set/20 red retrospot paper napkins ,30,2011-03-01 12:09:00,0.85,12709,Germany,25.5
559173,22755,2011,7,4,10,small purple babushka notebook ,12,2011-07-07 10:03:00,0.85,12540,Spain,10.2
562284,23210,2011,8,4,10,white rocking horse hand painted,24,2011-08-04 10:44:00,1.25,15133,United Kingdom,30.0
552315,22712,2011,5,7,16,card dolly girl ,12,2011-05-08 16:10:00,0.42,12700,France,5.04
553879,21155,2011,5,4,15,red retrospot peg bag,6,2011-05-19 15:15:00,2.55,15791,United Kingdom,15.3
543806,22192,2011,2,7,12,blue diner wall clock,1,2011-02-13 12:48:00,8.5,17085,United Kingdom,8.5
578027,22625,2011,11,2,13,red kitchen scales,2,2011-11-22 13:29:00,8.5,15977,United Kingdom,17.0
565737,22952,2011,9,2,12,60 cake cases vintage christmas,24,2011-09-06 12:27:00,0.55,16400,United Kingdom,13.2
538015,21012,2010,12,4,12,antique all glass candlestick,6,2010-12-09 12:49:00,2.1,13240,United Kingdom,12.6
564437,23245,2011,8,4,12,set of 3 regency cake tins,4,2011-08-25 12:10:00,4.95,13320,United Kingdom,19.8
541711,22474,2011,1,5,11,spaceboy tv dinner tray,16,2011-01-21 11:18:00,4.25,14646,Netherlands,68.0
543485,22697,2011,2,3,10,green regency teacup and saucer,6,2011-02-09 10:19:00,2.95,15843,United Kingdom,17.700000000000006
566018,35961,2011,9,4,12,folkart zinc heart christmas dec,10,2011-09-08 12:42:00,0.85,13137,United Kingdom,8.5
554628,85099C,2011,5,3,11,jumbo  bag baroque black white,10,2011-05-25 11:26:00,2.08,15039,United Kingdom,20.8
572035,23198,2011,10,4,12,pantry magnetic  shopping list,48,2011-10-20 12:03:00,1.25,14646,Netherlands,60.0
544286,21755,2011,2,4,12,love building block word,2,2011-02-17 12:29:00,5.95,13151,United Kingdom,11.9
562287,21242,2011,8,4,11,red retrospot plate ,8,2011-08-04 11:07:00,1.69,12455,Spain,13.52
566582,23237,2011,9,2,13,set of 4 knick knack tins leaf,6,2011-09-13 13:49:00,4.15,13384,United Kingdom,24.9
