star_rating,title,content_rating,duration
9.3,The Shawshank Redemption,R,142
9.2,The Godfather,R,175
9.1,The Godfather: Part II,R,200
9.0,The Dark Knight,PG-13,152
8.9,Pulp Fiction,R,154
8.9,12 Angry Men,NOT RATED,96
8.9,"The Good, the Bad and the Ugly",NOT RATED,161
8.9,The Lord of the Rings: The Return of the King,PG-13,201
8.9,Schindler's List,R,195
8.9,Fight Club,R,139
8.8,The Lord of the Rings: The Fellowship of the Ring,PG-13,178
8.8,Inception,PG-13,148
8.8,Star Wars: Episode V - The Empire Strikes Back,PG,124
8.8,Forrest Gump,PG-13,142
8.8,The Lord of the Rings: The Two Towers,PG-13,179
8.7,Interstellar,PG-13,169
8.7,One Flew Over the Cuckoo's Nest,R,133
8.7,Seven Samurai,UNRATED,207
8.7,Goodfellas,R,146
8.7,Star Wars,PG,121
